title,price_display,description,propertyType,locality,latitude,longitude,postcode,state,street_address,suburb,bathrooms,bedrooms,parking_spaces,agency_name,amenities
Auburn Townhouse For Lease,1200.0,"Ideally located in a quiet setting, only a very short walk to the shops, schools and Railway station stands this large town-house and contain. <br/><br/>Property Features：<br/><br/>- 4 Good sized bedroom(all with built-in-robes) en-suite and balcony to the main bedroom. <br/>- Sunny living/dining area with split Air conditioner. <br/>- Ultra modern kitchen with Caesar stone bench top, gas stove and dishwasher. - Modern bathroom, internal laundry and 3 toilets. <br/>- Double L.U Garage and storeroom.",townhouse,Auburn,-33.84077015,151.00802461,2144,NSW,1/27 Louis Street,Auburn,2,4,2,CAPSTONE REALTY - SYDNEY,Garage: 2
STUDIO ART-DECO APARTMENT,420.0,"Set within a boutique security building, this classic Art Deco studio features light filled interiors, spacious floorplan and an ultra-convenient location just footsteps to Oxford Street, shops, cafes, transport and only minutes from the heart of the CBD.<br/><br/>Highlights:<br/>- Well maintained kitchen<br/>- Spacious bedroom and living area<br/>- Neat & tidy bathroom with bath<br/>- Laundry facilities, intercom access<br/>- Communal courtyard and rooftop terrace with district views<br/>- Opposite St Margaret's village shops, cafes and Woolworths Metro<br/><br/>Please register for inspection updates as changes or cancellations may occur to inspection times.<br/><br/>Disclaimer: All information contained herein is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it. All interested parties should make and rely upon their own enquiries.",studio,Darlinghurst,-33.88346692,151.2163704,2010,NSW,29/360 Bourke Street,Darlinghurst,1,3,2,Laing+Simmons - Randwick | Coogee | Kingsford | Bondi Junction,Intercom
"A PLACE TO TRULY CALL HOME – SPACE, COMFORT & LIFESTYLE",580.0,"Tucked away in a quiet, family-friendly neighbourhood, this lovely home offers the perfect blend of comfort, space and value for money. Conveniently close to schools and parks, it’s ideal for families seeking a peaceful lifestyle without sacrificing convenience or breaking the budget. Enjoy your mornings or unwind in the afternoons on the welcoming front patio, perfectly positioned to capture the cool breeze and create that relaxed, homely feel.<br/><br/>Inside, you’ll find soaring high ceilings that enhance the sense of space, along with air conditioning throughout. The updated kitchen and bathroom add modern touches, while generous storage both upstairs and downstairs ensures there’s room for everything. Outside, the fully fenced yard offers excellent side access to a large powered colourbond shed – perfect for hobbies, tools, or extra storage. This is more than just a house – it’s the epitome of a true home.<br/><br/>SOME OF THE MANY FEATURES YOU WILL LOVE INCLUDE: <br/><br/>• Quiet, family-friendly street in a beautiful neighbourhood<br/>• Close to schools, parks and local amenities<br/>• Air conditioned throughout (all split-system air-conditioners)<br/>• Soaring high ceilings for added space and light<br/>• Updated kitchen and modern bathroom<br/>• Front patio capturing cool breezes<br/>• Loads of storage upstairs and downstairs<br/>• Fully fenced backyard<br/>• Excellent side access<br/>• Large powered colourbond shed<br/>• Great value for money for quality family living<br/><br/>Contact Marie Dowie on [REDACTED PHONE] for a viewing in person or via video<br/>(Real Estate Agency Of The Year For Property Management And Sales Moranbah 2025)<br/>#1 Agent Moranbah<br/>#4 Agent Queensland<br/>#11 Agent Australia<br/>Recognised as being in the top 5% of leading Agents in Australia for exceptional service and results.<br/>""Honesty and integrity matter""<br/><br/><br/><br/><br/><br/><br/><br/><br/>Disclaimer: Infinity Property Specialists have in preparing this information used our best endeavours to ensure that the information contained herein is true and accurate, but accept no responsibility and disclaim all liability in respect of any errors, omissions, inaccuracies or misstatements that may occur. Prospective vendors, purchasers & tenants should make their own enquiries to verify the information contained herein.<br/>",house,Moranbah,-22.00005312,148.06354374,4744,Qld,14 FLIGHT Drive,Moranbah,1,3,3,Marie Dowie: Infinity Property Specialists - MORANBAH,"Balcony, Deck, Garage: 3, Outdoor Entertaining Area, Secure Parking, Shed, Built-in Wardrobes, Living Areas: 1, Toilets: 1, Pets Allowed"
It will go quick! Call us now,375.0,"85A Diamantina Circuit, Beaudesert<br/>This well‑presented 2‑bedroom home offers modern comfort, low‑maintenance living, and a convenient location in one of Beaudesert’s most popular estates. Featuring an open‑plan layout, contemporary kitchen, and a private outdoor area, <br/><br/>With a single lock‑up garage, neat bathroom, and easy access to local schools, shops, and parks, this property delivers lifestyle and value in equal measure.<br/> <br/>Apply For This Property Online: https://TheOnsiteManager.com/apply/21170661<br/>(Listing ID: 21170661 )<br/><br/><br/>",duplex/semi-detached,Beaudesert,-27.99775659,153.01328333,4285,Qld,85A Diamantina Cct,Beaudesert,1,2,1,THEONSITEMANAGER - Queensland,"Garage: 1, Air Conditioning, Pets Allowed"
Stylish Waterside Living,630.0,"Welcome to 136/1B Sporting Drive — a stylish, fully air-conditioned waterfront retreat offering comfort and convenience in a secure, well-maintained complex. With stunning water views from the expansive undercover terrace, this fully furnished and mostly self-contained two-bedroom residence delivers effortless, move-in-ready living.<br/>Inside, the home features a light-filled open-plan layout with plush carpeting in the living area and bedrooms. The modern kitchen is well-appointed with quality appliances, while an internal laundry, secure undercover parking and a separate storage unit complete this low-maintenance offering.<br/><br/>Property Features:<br/>- Fully furnished and mostly self-contained<br/>- Fully air-conditioned throughout<br/>- Two spacious bedrooms with plush carpeting<br/>- Well-appointed bathroom<br/>- Modern kitchen with quality appliances<br/>- Open-plan living and dining<br/>- Large undercover terrace with water views<br/>- Internal laundry<br/>- Secure undercover car space<br/>- Separate storage unit<br/>- Secure, well-maintained complex<br/><br/>Perfectly positioned to embrace both lifestyle and convenience, this address places you moments from local cafés, boutique shopping, parklands and scenic waterfront walking paths. With easy access to public transport and major arterial roads, it offers seamless connectivity while maintaining a peaceful, waterside atmosphere in a highly sought-after location. <br/>To arrange a viewing, request an online rental application form, or receive property updates, please register your details. <br/><br/>*** Disclaimer: New Horizons Property Agency disclaims any liability for loss arising from inaccuracies or omissions in the listing. While we endeavour to accurately represent the property's current condition, Prospective Tenants should not rely solely on the information provided. Instead, they should conduct their own property inspection to ascertain if the property meets their specific requirements ***<br/>",apartment,Thuringowa Central,-19.32105337,146.72911663,4817,Qld,136/1 Sporting Drive,Thuringowa Central,1,2,2,New Horizons Property Agency - BUSHLAND BEACH,"Balcony, Carport: 1, Fully Fenced, Open Spaces: 1, Secure Parking, Swimming Pool - Inground, Air Conditioning, Built-in Wardrobes, Furnished"
Convenience At Your Doorstep,570.0,"Groceries at the Queen Victoria Market, picnics in the Flagstaff Gardens, shows at Marvel Stadium. <br/><br/>If the city life is what you crave, check out the best in the west.<br/><br/>Within easy reach of shops, transport and cultural icons, Rosslyn Street West Melbourne is the perfect location for a city pad, right by the inner city but without the typical headaches of CBD living. <br/><br/>2 bedrooms and 1 bathroom, with seperate toilet, feed off the central corridor, leading through a practical kitchen and living area at the rear. The balcony boasting unobstructed views of the city skyline complete the package.",apartment,West Melbourne,-37.80747047,144.95259678,3003,Vic,20/50 Rosslyn Street,West Melbourne,1,2,2,Frog Property Sales & Management,Living Areas: 1
Elevated North-Facing Two-Bedroom Residence in the Heart of Sydney,1280.0,"Set high within the well-regarded Waldorf Apartments, this generously proportioned two-bedroom residence offers an elevated lifestyle in one of Sydney CBD’s most vibrant precincts. Enjoying a prized north-facing orientation and positioned on a higher level, the apartment captures abundant natural light and enhanced privacy, creating a bright and airy living environment.<br/><br/>Designed for comfort and practicality, the spacious open-plan living and dining area flows effortlessly to a large balcony through expansive floor-to-ceiling sliding doors, enhancing the sense of openness and connection to the outdoors.<br/><br/>The updated kitchen is fitted with quality appliances, sleek cabinetry and ample preparation space, ideal for both everyday cooking and entertaining guests.<br/><br/>Both bedrooms are well-sized with built-in wardrobes, while the main bathroom includes a full bathtub and shower. An internal laundry adds further convenience.<br/><br/>Residents enjoy secure entry, intercom access, and the rare benefit of a separate-title car space. Premium lifestyle facilities include a rooftop swimming pool, spa, sauna, and an onsite building manager for added peace of mind.<br/><br/>Located in the heart of Sydney CBD, you are just moments from World Square, Town Hall Station, Darling Harbour, King Street Wharf, and an array of restaurants, retail and entertainment options.<br/><br/>Property Highlights:<br/><br/>High-floor position with desirable north aspect<br/><br/>Light-filled open-plan living and dining area<br/><br/>Full-height sliding doors enhancing space and light<br/><br/>Two spacious bedrooms with built-in wardrobes<br/><br/>Contemporary kitchen with stone benchtops<br/><br/>Secure building and ready to move in now.<br/><br/>Rooftop pool, spa, sauna & onsite management<br/><br/>110m to World Square, 350m to Town Hall Station<br/><br/>",apartment,Sydney,-33.87647284,151.20517868,2000,NSW,141/57 Liverpool St.,Sydney,2,2,2,TC Realty Alliance,"Balcony, Outdoor Entertaining Area, Swimming Pool - Above Ground, Air Conditioning, Alarm System, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Ensuite: 1, Floorboards, Intercom, Living Areas: 95, Toilets: 2"
"Stylish, Sunlit Living",590.0,"LINK Living property management is proud to present: 1/49 Tejo Street, Holmview QLD 4207.<br/><br/>If you’re after a modern and spacious property you can call home, this place delivers. This property offers comfortable, low-maintenance living in a quiet and convenient location. The bedrooms are well-sized with the master bedroom featuring an ensuite for added privacy. This would be the perfect place for young professionals, couples or a small family. Designed with functionality in mind, the kitchen, lounge and dining area provide a comfortable and cool central space for everyday living, with air-conditioned open plan living space flowing through to a private and covered courtyard that’s perfect for entertaining and easy to manage. Just minutes from the M1, this home is nestled in a quiet pocket of Holmview, you’ll have quick access to shops, parks, schools and transport. The surrounding area continues to grow in popularity with families and professionals alike, offering a well-connected community feel. <br/><br/>Property Features:<br/>- Three well-sized bedrooms with ceiling fans and built-in wardrobes<br/>- Main bedroom featuring an ensuite<br/>- Open plan living and dining area with air-conditioning<br/>- Functional kitchen with ample storage and modern stainless steel appliances, including dishwasher, stove, and oven<br/>- Main bathroom with separate shower and bath<br/>- Toilet is separate to the bathroom<br/>- Low maintenance fully-fenced yard<br/>- Remote-operated, secure single garage with internal access<br/>- Laundry in garage<br/>- Covered Patio<br/>- Pets considered upon application<br/><br/>INSPECTION INFORMATION: You must register for the inspection, inspection times with no registered attendees may be cancelled so please ensure that you secure the time that best suits you by registering to confirm your attendance. To register, use the enquiry button ""Email Agent"" or ""Contact Agent"" and fill in your details, you will be sent Inspection times. If you don't receive an email from us confirming registration, then you won't receive updates. Registering through realestate.com or domain won't appear in our system as they are separate companies.<br/><br/>All information provided has been obtained from sources we believe to be accurate, however, we cannot guarantee the information is accurate and we accept no liability for any errors or omissions (including but not limited to a property's land size, floor plans and size, building age and condition) Interested parties should make their own enquiries and obtain their own legal advice.<br/><br/><br/>",duplex/semi-detached,Holmview,-27.71696494,153.15935121,4207,Qld,1/49 Tejo Street,Holmview,2,3,1,Link Living - Fortitude Valley,"Fully Fenced, Garage: 1, Outdoor Entertaining Area, Remote Garage, Air Conditioning, Broadband Internet Available, Built-in Wardrobes, Dishwasher"
Fully Renovated Corner Apartment with Iconic Sydney Views,1400.0,"Bright elevated corner position, this chic renovated modern apartment captures breath taking uninterrupted views across Sydney city skyline and the Harbour Bridge.  <br/><br/>Offering the perfect blend of style and location, this quality residence delivers premium inner-city living in one of Sydney’s most sought-after lifestyle precincts.<br/><br/>Features:<br/>- Bright open plan living and dining with iconic Sydney backdrop<br/>- Modern renovated kitchen, integrated quality appliances and ample storage<br/>- Elevated corner position with panoramic views, wrap around balcony<br/>- Two generous bedrooms, both with built-in wardrobes<br/>- Two stylishly renovated bathrooms, including ensuite to master<br/>- Stylish floorboards throughout living, plush carpet in bedrooms<br/>- Modern track lighting on dimmers, air conditioning<br/>- Great storage options throughout<br/>- Internal laundry with washer and dryer included<br/>- Easy access secure car space<br/>- Well-maintained secure building with lift access<br/>- Large entertaining rooftop with BBQs, spectacular views as well as outdoor pool<br/><br/>Wake up to world-class views and enjoy the vibrant Potts Point lifestyle at your doorstep.  Cafés, restaurants, boutiques, supermarkets and Kings Cross Station are all within easy walking distance, while the CBD is just minutes away",apartment,Potts Point,-33.87219227,151.22344389,2011,NSW,909/2 Springfield Avenue,Potts Point,2,2,1,NU Management - POTTS POINT,"Balcony, Garage: 1, Outdoor Entertaining Area, Secure Parking, Air Conditioning, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Split-system Heating"
WALK TO TOWN & SCHOOL,550.0,"Perfectly positioned within easy walking distance to town, local schools and the corner store, this well-maintained timber home is new to the rental market and offers comfort, convenience and excellent value.<br/><br/>Inside, the home features air-conditioned living areas, polished timber floors and a fresh, neutral colour palette throughout. The bedrooms are fitted with brand-new carpet, with built-in wardrobes to two rooms, creating a comfortable and practical layout for everyday living.<br/><br/>The modern kitchen includes a dishwasher and flows seamlessly into the living spaces, while a second toilet located in the laundry adds extra convenience.<br/><br/>Outside, enjoy a private front verandah, a fully fenced backyard ideal for relaxed outdoor living, and a garden shed for additional storage.<br/><br/>Property features include:<br/>* Air-conditioned living areas<br/>* Polished timber floors<br/>* New carpet to bedrooms<br/>* Built-in wardrobes to two bedrooms<br/>* Modern kitchen with dishwasher<br/>* Second toilet in laundry<br/>* Freshly painted throughout<br/>* Private front verandah<br/>* Fully fenced backyard<br/>* Garden shed<br/>* Walk to school, town and local shop<br/><br/>This beautifully presented home represents excellent value and is well priced at $550 per week.",house,Gympie,-26.17856462,152.66576269,4570,Qld,26 Thomas Street,Gympie,1,3,2,Haack Property Group - PIE CREEK,"Balcony, Carport: 2, Deck, Fully Fenced, Air Conditioning, Built-in Wardrobes, Dishwasher, Floorboards, Living Areas: 1, Split-system Air Conditioning, Toilets: 2"
Modern 4 Bedroom Townhouse Living at Greenview,2100.0,"• Spacious 3-bedroom townhouse<br/>• Designer kitchen with stainless steel Miele appliances<br/>• Elegant Caesarstone benchtops and limed wood cabinetry<br/>• Ducted and zoned air conditioning<br/>• Prime location just 400m from Lindfield Train Station<br/>• Short stroll to local conveniences, including restaurants, grocery stores, and schools<br/>• Situated in the sought-after Greenview complex offering both lifestyle and convenience",townhouse,Lindfield,-33.7789291,151.16687647,2070,NSW,35/18 Beaconsfield Parade,Lindfield,4,4,2,Common Realty Group - Sydney,Open Spaces: 2
Brand New 2 Bedroom Apartment,1600.0,"• Two generously sized double bedrooms, both with built-in wardrobes and direct access to the balcony<br/>• Sleek designer kitchen featuring premium Miele appliances and bespoke custom joinery<br/>• Gas cooktop, integrated fridge/freezer and dishwasher for a seamless finish<br/>• Streamlined open-plan living and dining area flowing effortlessly to a large entertainer’s balcony with panoramic views<br/>• Expansive balcony ideal for outdoor dining and entertaining while enjoying the sweeping outlook<br/>• Internal laundry equipped with Miele washer and dryer<br/>• Elegant bathrooms with high-quality fittings and finishes; ensuite includes separate bath and shower<br/>• Ducted air conditioning with individual zoning for year-round comfort<br/>• Premium luxury finishes showcased throughout<br/>• Secure car space plus separate storage cage",apartment,Crows Nest,-33.82827801,151.20298601,2065,NSW,406/41 Falcon Street,Crows Nest,2,2,1,Common Realty Group - Sydney,"Open Spaces: 1, Ensuite: 1"
MODERN 2 BEDROOM APARTMENT WITH AN IDEAL LOCATION!!!!!,510.0,"This well loved, spacious apartment is located in the heart of Wollongong's CBD. Close to public transport including the train station, schools, parks, restaurants and shopping centres.<br/><br/>Situated within a small and well maintained complex with a ramp for wheelchair access.<br/><br/>The first thing you will notice upon entering the property is the spacious open-plan living area. Complete with polished wooden flooring, a large window allowing for plenty of fresh air and natural light to fill the area and a good-sized linen closet for extra storage.<br/><br/>The kitchen has a modern design with wooden finishes. Includes a free-standing oven with gas stove top, plenty of bench space, ample amounts of cupboard space and a sleek white tiled splashback. The area is oversized and has plenty of room for a dining set.<br/><br/>Bedrooms are both good-sized and include a built-in wardrobe and wooden flooring.<br/><br/>The bathroom has been kept in amazing condition with a bright and cheerful colour scheme. Including a deep bathtub separate from the shower, a wall mirror and built-in shelves.<br/><br/>The oversized and renovated shared laundry includes a toilet and pay-per-use washing machines.<br/><br/>The property also comes with a single lock-up garage and is NBN-ready with water usage <br/><br/>Property Highlights:<br/>* Located within a small and well-maintained complex<br/>* Ramp for wheelchair access<br/>* Spacious open-plan living area includes polished wooden flooring and a linen closet for extra storage<br/>* Near new kitchen has wooden finishes and includes a free-standing oven with a gas stove top, plenty of bench space, ample amounts of cupboard space and a sleek white tiled splashback<br/>* The bathroom has been kept in amazing condition throughout and includes a deep bathtub separate from the shower<br/>* Bedrooms are both good-sized and include wooden flooring and a built-in wardrobe<br/>* Single lock up garage<br/>* Located within the heart of Wollongong's CBD<br/>* Close to public transport including the train station, parks, schools, restaurants and shopping centre's<br/><br/><br/>Don't miss this opportunity to secure a modern, convenient, and well- maintained apartment in the heart of Wollongong's CBD. Contact us today to arrange a viewing!<br/><br/><br/>“All Residential has made every effort to ensure the accuracy and thoroughness of the information provided in our marketing material, we do not guarantee the accuracy of the information provided by our vendors. Regarding the accuracy of the information provided, All Residential makes no statement, representation or warranty and assumes no legal liability to its accuracy. Interested parties should conduct their own due diligence. All marketing material, including but not limited to, maps, photographs, images, and other visuals are solely for marketing purposes.”",apartment,Wollongong,-34.42793341,150.88378512,2500,NSW,4/30 Rowland Avenue,Wollongong,1,2,1,All Residential Real Estate - Wollongong,Garage: 1
Spacious modern two bedroom apartment!,1180.0,"Do not miss out! Apply now to enjoy the best community living in Macquarie Park!<br/><br/>- Modern kitchen with marble surface<br/>- Equipped with the famous Miele appliances which includes oven, gas cooktop and rangehood<br/>- Two good size bedroom all with built-in wardrobes<br/>- Spacious study area ideal for the need of WFH<br/>- One car space with storage cage <br/>- Exceptionally close to the shopping centre, metro station, bus station and Macquarie University<br/><br/>Disclaimer: All information contained here is gathered from sources we believe are reliable. We have no reason to doubt its accuracy; however, we cannot guarantee it.",apartment,Macquarie Park,-33.77981477,151.12002106,2113,NSW,82 Waterloo Road,Macquarie Park,2,2,1,Denox Global - SYDNEY,Carport: 1
